DEPARTURES_PERFORMED,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST
0.00,10140,ABQ,13930,ORD
0.00,10194,AFW,13487,MSP
0.00,10257,ALB,11433,DTW
0.00,10397,ATL,11298,DFW
0.00,10397,ATL,11298,DFW
0.00,10397,ATL,11433,DTW
0.00,10397,ATL,12892,LAX
0.00,10397,ATL,12892,LAX
0.00,10397,ATL,14107,PHX
0.00,10397,ATL,14679,SAN
0.00,10397,ATL,14679,SAN
0.00,10408,ATW,11433,DTW
0.00,10423,AUS,13487,MSP
0.00,10431,AVL,10397,ATL
0.00,10431,AVL,10397,ATL
0.00,10540,BED,11618,EWR
0.00,10559,BFI,10397,ATL
0.00,10647,BKL,10397,ATL
0.00,10647,BKL,13930,ORD
0.00,10693,BNA,11618,EWR
0.00,10693,BNA,14869,SLC
0.00,10713,BOI,14869,SLC
0.00,10721,BOS,10397,ATL
0.00,10721,BOS,11618,EWR
0.00,10721,BOS,13487,MSP
0.00,10785,BTV,13930,ORD
0.00,10792,BUF,10397,ATL
0.00,10792,BUF,11433,DTW
0.00,10800,BUR,12892,LAX
0.00,10821,BWI,11433,DTW
0.00,10821,BWI,11618,EWR
0.00,10849,BZN,11292,DEN
0.00,10849,BZN,11298,DFW
0.00,10994,CHS,11433,DTW
0.00,10994,CHS,11433,DTW
0.00,10994,CHS,11618,EWR
0.00,10994,CHS,13930,ORD
0.00,11042,CLE,10397,ATL
0.00,11042,CLE,11433,DTW
0.00,11042,CLE,11618,EWR
0.00,11042,CLE,14107,PHX
0.00,11057,CLT,13930,ORD
0.00,11066,CMH,12266,IAH
0.00,11193,CVG,10397,ATL
0.00,11193,CVG,10397,ATL
0.00,11193,CVG,12892,LAX
0.00,11193,CVG,13930,ORD
0.00,11278,DCA,11618,EWR
0.00,11278,DCA,11618,EWR
0.00,11298,DFW,10397,ATL
0.00,11298,DFW,11298,DFW
0.00,11433,DTW,10397,ATL
0.00,11433,DTW,11618,EWR
0.00,11433,DTW,11618,EWR
0.00,11433,DTW,13487,MSP
0.00,11618,EWR,11057,CLT
0.00,11618,EWR,11433,DTW
0.00,11618,EWR,11618,EWR
0.00,11618,EWR,12892,LAX
0.00,11697,FLL,11292,DEN
0.00,11697,FLL,11292,DEN
0.00,11697,FLL,11433,DTW
0.00,11884,GEG,14869,SLC
0.00,11884,GEG,14869,SLC
0.00,11977,GRB,11292,DEN
0.00,11982,GRK,11433,DTW
0.00,11986,GRR,11618,EWR
0.00,11995,GSO,10397,ATL
0.00,11996,GSP,11292,DEN
0.00,12191,HOU,14747,SEA
0.00,12191,HOU,14771,SFO
0.00,12197,HPN,11433,DTW
0.00,12217,HSV,11433,DTW
0.00,12264,IAD,10423,AUS
0.00,12264,IAD,11298,DFW
0.00,12264,IAD,11433,DTW
0.00,12264,IAD,14057,PDX
0.00,12266,IAH,13487,MSP
0.00,12278,ICT,13930,ORD
0.00,12339,IND,10397,ATL
0.00,12339,IND,11433,DTW
0.00,12339,IND,13487,MSP
0.00,12451,JAX,11618,EWR
0.00,12451,JAX,11618,EWR
0.00,12478,JFK,10397,ATL
0.00,12478,JFK,10397,ATL
0.00,12478,JFK,11292,DEN
0.00,12884,LAN,11433,DTW
0.00,12889,LAS,10397,ATL
0.00,12889,LAS,14869,SLC
0.00,12892,LAX,10397,ATL
0.00,12892,LAX,11618,EWR
0.00,12892,LAX,12892,LAX
0.00,12892,LAX,12892,LAX
0.00,12892,LAX,14747,SEA
0.00,12953,LGA,11292,DEN
0.00,12953,LGA,13930,ORD
0.00,12992,LIT,10397,ATL
0.00,12992,LIT,10397,ATL
0.00,12992,LIT,10397,ATL
0.00,13198,MCI,11433,DTW
0.00,13198,MCI,13930,ORD
0.00,13198,MCI,13930,ORD
0.00,13204,MCO,10397,ATL
0.00,13204,MCO,10397,ATL
0.00,13204,MCO,11433,DTW
0.00,13204,MCO,11618,EWR
0.00,13232,MDW,14107,PHX
0.00,13244,MEM,11618,EWR
0.00,13244,MEM,13930,ORD
0.00,13256,MFE,12266,IAH
0.00,13264,MFR,11292,DEN
0.00,13303,MIA,10397,ATL
0.00,13303,MIA,12892,LAX
0.00,13341,MKC,13487,MSP
0.00,13485,MSN,11433,DTW
0.00,13487,MSP,10423,AUS
0.00,13487,MSP,11433,DTW
0.00,13487,MSP,11433,DTW
0.00,13487,MSP,11618,EWR
0.00,13487,MSP,13487,MSP
0.00,13487,MSP,13930,ORD
0.00,13487,MSP,13930,ORD
0.00,13487,MSP,14057,PDX
0.00,13487,MSP,14869,SLC
0.00,13487,MSP,14869,SLC
0.00,13495,MSY,10397,ATL
0.00,13495,MSY,11433,DTW
0.00,13495,MSY,14869,SLC
0.00,13689,NJK,10397,ATL
0.00,13796,OAK,12892,LAX
0.00,13851,OKC,14107,PHX
0.00,13871,OMA,11433,DTW
0.00,13930,ORD,10397,ATL
0.00,13930,ORD,11433,DTW
0.00,13930,ORD,13487,MSP
0.00,13930,ORD,13930,ORD
0.00,13930,ORD,14107,PHX
0.00,14009,PAM,10397,ATL
0.00,14057,PDX,13487,MSP
0.00,14057,PDX,14107,PHX
0.00,14100,PHL,13487,MSP
0.00,14107,PHX,10397,ATL
0.00,14107,PHX,12892,LAX
0.00,14107,PHX,13487,MSP
0.00,14107,PHX,14107,PHX
0.00,14107,PHX,14107,PHX
0.00,14107,PHX,14869,SLC
0.00,14112,PIE,10397,ATL
0.00,14122,PIT,10397,ATL
0.00,14122,PIT,10397,ATL
0.00,14122,PIT,11433,DTW
0.00,14122,PIT,12266,IAH
0.00,14122,PIT,13930,ORD
0.00,14193,PNS,12266,IAH
0.00,14314,PVU,11292,DEN
0.00,14321,PWM,11433,DTW
0.00,14457,RAP,13930,ORD
0.00,14489,RDM,11292,DEN
